id,name,position
4776,"Matt Shoemaker",P
3830,"Ricky Nolasco",P
5448,"Jesse Chavez",P
8302,"JC Ramirez",P
9425,"Doug Fister",P
10190,"Tyler Skaggs",P
9784,"Garrett Richards",P
12833,"Alex Meyer",P
15179,"Daniel Wright",P
11681,"Vicente Campos",P
15423,"Andrew Heaney",P
9492,"Bud Norris",P
5224,"Blake Parker",P
5358,"Jose Alvarez",P
4020,"Yusmeiro Petit",P
13360,"Cam Bedrosian",P
1368,"Andrew Bailey",P
4259,"David Hernandez",P
8410,"Deolis Guerra",P
13442,"Mike Morin",P
15264,"Keynan Middleton",P
8258,"Huston Street",P
10387,"Brooks Pounders",P
16877,"Greg Mahle",P
11502,"Parker Bridwell",P
13395,"Damien Magnifico",P
14107,"Kevin Gausman",P
8779,"Wade Miley",P
12917,"Dylan Bundy",P
5279,"Chris Tillman",P
3374,"Ubaldo Jimenez",P
13560,"Alec Asher",P
12691,"Tyler Wilson",P
12586,"Mike Wright",P
12905,"Logan Verrett",P
12982,"Andrew Faulkner",P
6627,"Brad Brach",P
3240,"Zach Britton",P
3321,"Darren O'Day",P
10430,"Mychal Givens",P
13150,"Jayson Aquino",P
15306,"Donnie Hart",P
16058,"Stefan Crichton",P
7803,"Richard Bleier",P
9674,"Vidal Nuno",P
15684,"Miguel Castro",P
sa738159,"Paul Fry",P
sa550044,"Chris Lee",P
sa658076,"Jesus Liranzo",P
10603,"Chris Sale",P
2717,"Rick Porcello",P
3184,"David Price",P
13164,"Eduardo Rodriguez",P
11426,"Drew Pomeranz",P
14272,"Brian Johnson",P
19341,"Hector Velazquez",P
6230,"Kyle Kendrick",P
11428,"Brandon Workman",P
13143,"Henry Owens",P
12673,"Roenis Elias",P
6655,"Craig Kimbrel",P
9761,"Joe Kelly",P
11632,"Heath Hembree",P
12863,"Matt Barnes",P
4994,"Fernando Abad",P
13042,"Robby Scott",P
6819,"Robbie Ross Jr.",P
18114,"Ben Taylor",P
2237,"Blaine Boyer",P
10688,"Tyler Thornburg",P
sa3000870,"Hector Velazquez",P
13172,"Carson Smith",P
12800,"Noe Ramirez",P
sa739569,"Luis Ysla",P
sa602595,"Chandler Shepherd",P
11423,"Jose Quintana",P
4141,"Derek Holland",P
7024,"Miguel Gonzalez",P
5203,"Mike Pelfrey",P
14825,"Dylan Covey",P
7059,"James Shields",P
16137,"Carlos Rodon",P
15474,"Lucas Giolito",P
13418,"Chris Beck",P
16400,"Reynaldo Lopez",P
15126,"Tyler Danish",P
18311,"Carson Fulmer",P
8241,"David Robertson",P
8073,"Dan Jennings",P
14093,"Michael Ynoa",P
7466,"Anthony Swarzak",P
11384,"Tommy Kahnle",P
7725,"David Holmberg",P
9119,"Gregory Infante",P
10341,"Juan Minaya",P
4696,"Nate Jones",P
9080,"Zach Putnam",P
10534,"Jake Petricka",P
12831,"Matt Purke",P
6632,"Carlos Carrasco",P
5867,"Danny Salazar",P
9388,"Josh Tomlin",P
12703,"Trevor Bauer",P
12808,"Mike Clevinger",P
2429,"Corey Kluber",P
13762,"Tim Cooney",P
13688,"Ryan Merritt",P
12799,"Cody Anderson",P
12183,"Cody Allen",P
6785,"Andrew Miller",P
8110,"Bryan Shaw",P
7385,"Dan Otero",P
5525,"Boone Logan",P
2895,"Zach McAllister",P
13685,"Nick Goody",P
12857,"Shawn Armstrong",P
4920,"Joseph Colon",P
10887,"Perci Garner",P
15033,"Kyle Crockett",P
8700,"Justin Verlander",P
4505,"Jordan Zimmermann",P
13475,"Daniel Norris",P
13218,"Michael Fulmer",P
15440,"Matt Boyd",P
3284,"Anibal Sanchez",P
14814,"Buck Farmer",P
sa657709,"Sandy Baez",P
4301,"Justin Wilson",P
9239,"Alex Wilson",P
10756,"Shane Greene",P
6499,"Blaine Hardy",P
1642,"Francisco Rodriguez",P
13211,"Warwick Saupold",P
8846,"Arcenio Leon",P
10297,"Chad Bell",P
11753,"Kyle Ryan",P
15761,"Joe Jimenez",P
13331,"William Cuevas",P
5766,"Bruce Rondon",P
6986,"Ian Kennedy",P
4538,"Jason Hammel",P
8044,"Jason Vargas",P
sa598268,"Eric Skoglund",P
3542,"Danny Duffy",P
12638,"Nathan Karns",P
9884,"Travis Wood",P
3196,"Chris Young",P
14139,"Miguel Almonte",P
13619,"Jakob Junis",P
6033,"Kelvin Herrera",P
6941,"Joakim Soria",P
10021,"Mike Minor",P
4891,"Peter Moylan",P
13799,"Matt Strahm",P
12235,"Seth Maness",P
15240,"Kevin McCarthy",P
10591,"Scott Alexander",P
sa621583,"Kyle Zimmer",P
12027,"Brian Flynn",P
3200,"Ervin Santana",P
4026,"Hector Santiago",P
14168,"Jose Berrios",P
10123,"Kyle Gibson",P
13188,"Adalberto Mejia",P
7450,"Phil Hughes",P
8421,"Adam Wilk",P
11716,"Nick Tepesch",P
13758,"Tyler Duffey",P
9939,"Brandon Kintzler",P
7005,"Ryan Pressly",P
13449,"Taylor Rogers",P
1837,"Matt Belisle",P
4363,"Craig Breslow",P
sa579049,"Jason Wheeler",P
8490,"Buddy Boshers",P
13572,"Justin Haley",P
12499,"Drew Rucinski",P
13767,"J.T. Chargois",P
11394,"Alex Wimmers",P
sa621016,"Mason Melotakis",P
8041,"Glen Perkins",P
10976,"Ryan O'Rourke",P
15764,"Masahiro Tanaka",P
5372,"Michael Pineda",P
15890,"Luis Severino",P
404,"CC Sabathia",P
16511,"Jordan Montgomery",P
15552,"Chad Green",P
13345,"Luis Cessa",P
sa657806,"Ronald Herrera",P
11479,"Bryan Mitchell",P
sa597051,"Yefry Ramirez",P
9029,"Adam Warren",P
10233,"Aroldis Chapman",P
6216,"Dellin Betances",P
5640,"Tyler Clippard",P
7501,"Tommy Layne",P
16588,"Jonathan Holder",P
14986,"Giovanny Gallegos",P
10855,"Chasen Shreve",P
5178,"Ernesto Frieri",P
15100,"Ben Heller",P
sa579749,"Dietrich Enns",P
sa548637,"Domingo German",P
12768,"Sonny Gray",P
15873,"Sean Manaea",P
15514,"Kendall Graveman",P
13533,"Andrew Triggs",P
13654,"Jharel Cotton",P
13287,"Jesse Hahn",P
12304,"Chris Bassitt",P
16980,"Daniel Mengden",P
sa657872,"Paul Blackburn",P
2873,"Santiago Casilla",P
1852,"Ryan Madson",P
13974,"Ryan Dull",P
3548,"Liam Hendriks",P
13293,"Daniel Coulombe",P
14309,"Frankie Montas",P
1581,"Sean Doolittle",P
9059,"John Axford",P
11294,"Zach Neal",P
14832,"Bobby Wahl",P
10946,"Josh Smith",P
4544,"Chris Smith",P
14506,"J.B. Wendelken",P
4772,"Felix Hernandez",P
11828,"James Paxton",P
13048,"Hisashi Iwakuma",P
