id,name,position
6887,"Martin Maldonado",C
5398,"Juan Graterol",C
10642,"Carlos Perez",C
4969,"Luis Valbuena",2B/3B
12546,"C.J. Cron",1B/DH
5107,"Jefry Marte",1B
1177,"Albert Pujols",1B
9219,"Danny Espinosa",2B/SS
3395,"Cliff Pennington",SS
11494,"Kaleb Cowart",3B
13267,"Nolan Fontana",2B
10847,"Andrelton Simmons",SS
4191,"Yunel Escobar",SS
5223,"Cameron Maybin",OF
4712,"Ben Revere",OF
10155,"Mike Trout",OF
11200,"Kole Calhoun",OF
3256,"Welington Castillo",C
7087,"Caleb Joseph",C
9272,"Chris Davis",1B
15149,"Trey Mancini",DH/OF
6876,"Mark Trumbo",1B/OF
2495,"Pedro Alvarez",3B
11265,"Jonathan Schoop",2B
7888,"Ryan Flaherty",2B/3B
7412,"Paul Janish",SS
13153,"Luis Sardinas",2B/SS
3797,"J.J. Hardy",SS
11493,"Manny Machado",3B
18718,"Hyun Soo Kim",OF
7331,"Seth Smith",OF
sa659463,"Anthony Santander",OF
6368,"Adam Jones",OF
13277,"Joey Rickard",OF
9774,"Christian Vazquez",C
5273,"Sandy Leon",C
13176,"Blake Swihart",C
3086,"Mitch Moreland",1B
16263,"Sam Travis",1B
8001,"Hanley Ramirez",SS
8370,"Dustin Pedroia",2B
11167,"Josh Rutledge",2B/SS
9345,"Brock Holt",3B/OF
12161,"Xander Bogaerts",SS
13325,"Deven Marrero",3B
5409,"Pablo Sandoval",3B
17901,"Andrew Benintendi",OF
3882,"Chris Young",OF
12957,"Steve Selsky",OF
13611,"Mookie Betts",OF
12984,"Jackie Bradley Jr.",OF
13338,"Omar Narvaez",C
12284,"Kevan Smith",C
3707,"Geovany Soto",C
sa505301,"Alfredo Gonzalez",C
15676,"Jose Abreu",1B
785,"Todd Frazier",3B
7226,"Matt Davidson",3B/DH
11602,"Yolmer Sanchez",2B
5913,"Leury Garcia",OF
10807,"Tyler Saladino",2B/3B
17232,"Yoan Moncada",3B/DH
15172,"Tim Anderson",SS
4022,"Melky Cabrera",OF
12956,"Willy Garcia",OF
15082,"Adam Engel",OF
11997,"Cody Asche",3B/OF
5760,"Avisail Garcia",OF
14876,"Jacob May",OF
12983,"Charlie Tilson",OF
9627,"Yan Gomes",C
2900,"Roberto Perez",C
9362,"Adam Moore",C
sa455980,"Francisco Mejia",OF
2396,"Carlos Santana",C/1B
2151,"Edwin Encarnacion",1B/3B/DH
10681,"Giovanny Urshela",3B
9776,"Jason Kipnis",2B
13510,"Jose Ramirez",3B/SS
13369,"Erik Gonzalez",2B/SS
